,lda_equity,mlp_equity,buy_hold
2025-05-15,10000,11260.535894983315,17096.98093948642
2025-05-16,10000,11260.535894983315,17054.899336324757
2025-05-17,10000,11260.535894983315,17005.75585176974
2025-05-18,10000,11260.535894983315,17542.16271501721
2025-05-19,10000,11260.535894983315,17403.760139625672
2025-05-20,10000,11260.535894983315,17599.031138197588
2025-05-21,10000,11260.535894983315,18074.803670684818
2025-05-22,10000,11260.535894983315,18403.610533314295
2025-05-23,10000,11260.535894983315,17680.888450341245
2025-05-24,10000,11260.535894983315,17763.841416279927
2025-05-25,10000,11260.535894983315,17968.889612172014
2025-05-26,10000,11260.535894983315,18035.62921942583
2025-05-28,10000,11260.535894983315,17765.68252665231
2025-05-29,10000,11260.535894983315,17409.62336804232
2025-05-30,10000,11260.535894983315,17138.828219509774
2025-05-31,10000,11260.535894983315,17244.22084466537
2025-06-01,10000,11243.670389399216,17411.328004498984
2025-06-02,10000,11268.086674031916,17449.137716600824
2025-06-03,10000,11220.296704314627,17375.13280456985
2025-06-04,10000,11145.750005205524,17259.693896731973
2025-06-05,10000,10793.665149645145,16739.58407900448
2025-06-06,10000,10793.665149645145,17203.39196905079
2025-06-07,10000,10793.665149645145,17405.316714758683
2025-06-08,10000,10793.665149645145,17434.654744168038
2025-06-09,10000,10793.665149645145,18176.32352660956
2025-06-10,10000,10793.665149645145,18170.247862380715
2025-06-11,10000,10793.665149645145,17911.413493819775
2025-06-12,10000,10793.665149645145,17456.969516877172
2025-06-13,10000,10793.665149645145,17483.652742378945
2025-06-14,10000,10793.665149645145,17381.71445227866
2025-06-15,10000,10793.665149645145,17394.835260533837
2025-06-16,10000,10793.665149645145,17599.965855771257
2025-06-17,10000,10793.665149645145,17238.12715557973
2025-06-18,10000,10793.665149645145,17284.63514857373
2025-06-19,10000,10793.665149645145,17251.833771680667
2025-06-20,10000,10793.665149645145,17025.287071594197
2025-06-21,10000,10793.665149645145,16851.886661760454
2025-06-22,10000,10793.665149645145,16642.54854995175
2025-06-23,10000,10793.665149645145,17399.0788268187
2025-06-24,10000,10793.665149645145,17476.181439238444
2025-06-25,10000,10793.665149645145,17692.99471665695
2025-06-26,10000,10793.665149645145,17626.867954534075
2025-06-27,10000,10793.665149645145,17648.0329988778
2025-06-28,10000,10793.665149645145,17687.46494809096
2025-06-29,10000,10793.665149645145,17861.800075498377
2025-06-30,10000,10793.665149645145,17655.763087462245
2025-07-01,10000,10793.665149645145,17418.93835653473
2025-07-02,10000,10793.665149645145,17939.873455205372
2025-07-03,10000,10793.665149645145,18069.84297259756
2025-07-04,10000,10793.665149645145,17803.917110378534
2025-07-08,10000,10793.665149645145,17954.86241111812
2025-07-09,10000,10793.665149645145,18346.47044979225
2025-07-10,10000,10793.665149645145,19114.53920998595
2025-07-11,10000,10793.665149645145,19366.64644449397
2025-07-12,10000,10793.665149645145,19353.171576551795
2025-07-13,10000,10793.665149645145,19630.180150718672
2025-07-14,10000,10793.665149645145,19751.07415271582
2025-07-15,10000,10793.665149645145,19409.52629131358
2025-07-16,10000,10793.665149645145,19567.950620132287
2025-07-17,10000,10793.665149645145,19658.81006075403
2025-07-18,10000,10793.665149645145,19446.77723285485
2025-07-19,10000,10793.665149645145,19436.35371566969
2025-07-20,10000,10793.665149645145,19331.016452574248
2025-07-21,10000,10793.665149645145,19353.88227090532
2025-07-22,10000,10793.665149645145,19775.087124432757
2025-07-23,10000,10793.665149645145,19570.662073589785
2025-07-24,10000,10793.665149645145,19506.891417747647
2025-07-25,10000,10793.665149645145,19386.23946382742
2025-07-26,10000,10793.665149645145,19437.571680992954
2025-07-27,10000,10793.665149645145,19684.955115531568
2025-07-28,10000,10793.665149645145,19433.799335964235
2025-07-29,10000,10793.665149645145,19433.41566401251
2025-07-30,10000,10793.665149645145,19418.425420609994
2025-07-31,10000,10793.665149645145,19076.8003098215
2025-08-01,10000,10793.665149645145,18675.001789610742
2025-08-02,10000,10793.665149645145,18544.288103130984
2025-08-03,10000,10793.665149645145,18822.922776878502
2025-08-04,10000,10793.665149645145,18963.695620938255
2025-08-05,10000,10793.665149645145,18810.360739183892
2025-08-06,10000,10793.665149645145,18956.463790895144
2025-08-07,10000,10793.665149645145,19363.335020803224
2025-08-08,10000,10793.665149645145,19230.14935396335
2025-08-09,10000,10793.665149645145,19199.10668809733
2025-08-10,10000,10793.665149645145,19661.597476108018
2025-08-11,10000,10793.665149645145,19566.7867293794
2025-08-12,10000,10793.665149645145,19804.337604537694
2025-08-13,10000,10793.665149645145,20326.94000246164
2025-08-14,10000,10793.665149645145,19505.503503774627
2025-08-15,10000,10793.665149645145,19347.09462483317
2025-08-16,10000,10793.665149645145,19362.420903065886
2025-08-17,10000,10793.665149645145,19356.110915698737
2025-08-18,10000,10793.665149645145,19158.228887871446
2025-08-19,10000,10793.665149645145,18594.430679748213
2025-08-20,10000,10793.665149645145,18832.32788965488
2025-08-21,10000,10793.665149645145,18526.50915688471
2025-08-22,10000,10793.665149645145,19260.696336267567
2025-08-23,10000,10793.665149645145,19013.538212438863
2025-08-24,10000,10793.665149645145,18697.80065847373
2025-08-25,10000,10793.665149645145,18148.348948867562
2025-08-26,10000,10793.665149645145,18424.931363920277
2025-08-27,10000,10793.665149645145,18329.250274106533
2025-08-28,10000,10793.665149645145,18547.23645470633
2025-08-29,10000,10793.665149645145,17865.963817417436
2025-08-30,10000,10793.665149645145,17931.427522308302
2025-08-31,10000,10793.665149645145,17837.26824540376
2025-09-01,10000,10793.665149645145,18004.35480540104
2025-09-02,10000,10793.665149645145,18325.710964726353
2025-09-03,10000,10793.665149645145,18411.83888044006
2025-09-04,10000,10793.665149645145,18247.104564254205
2025-09-05,10000,10793.665149645145,18235.137346833748
2025-09-06,10000,10793.665149645145,18164.88546748493
2025-09-07,10000,10793.665149645145,18320.277757893185
2025-09-08,10000,10793.665149645145,18469.22487450834
2025-09-09,10000,10793.665149645145,18380.088095200055
2025-09-10,10000,10793.665149645145,18779.69402033098
2025-09-11,10000,10793.665149645145,19035.49120052238
2025-09-12,10000,10793.665149645145,19133.38806023183
2025-09-13,10000,10793.665149645145,19108.49187053206
2025-09-14,10000,10793.665149645145,19019.030643801503
2025-09-15,10000,10793.665149645145,19025.164245070042
2025-09-16,10000,10793.665149645145,19255.604314223692
2025-09-17,10000,10793.665149645145,19193.8575923014
2025-09-18,10000,10793.665149645145,19304.05770426151
2025-09-19,10000,10793.665149645145,19065.37255061506
2025-09-20,10000,10793.665149645145,19070.827644774334
2025-09-21,10000,10793.665149645145,19002.29327677989
2025-09-22,10000,10793.665149645145,18580.806462992623
2025-09-23,10000,10793.665149645145,18459.84293654784
2025-09-24,10000,10793.665149645145,18676.41030342011
2025-09-25,10000,10793.665149645145,17971.180056474423
2025-09-26,10000,10793.665149645145,18080.530425185745
2025-09-27,10000,10793.665149645145,18075.4409781214
2025-09-28,10000,10793.665149645145,18477.664369956554
2025-09-29,10000,10793.665149645145,18853.033300150404
2025-09-30,10000,10793.665149645145,18796.293625947113
2025-10-01,10000,10793.665149645145,19553.188262419226
2025-10-02,10000,10777.498901293206,19888.113276439988
2025-10-03,10000,10902.693914134901,20149.3642633009
2025-10-04,10000,10886.364367583525,20175.550517751108
2025-10-05,10000,10966.641444740597,20354.85921814348
2025-10-06,10000,10966.641444740597,20559.05380831746
2025-10-07,10000,10966.641444740597,20015.02886809561
2025-10-08,10000,10966.641444740597,20328.720600814795
2025-10-09,10000,10966.641444740597,20056.921210260953
2025-10-10,10000,10966.641444740597,18657.579478031017
2025-10-11,10000,10966.641444740597,18260.994003902608
2025-10-12,10000,10966.641444740597,18979.82658027779
2025-10-13,10000,10966.641444740597,18996.52274762674
2025-10-14,10000,10966.641444740597,18641.807728337568
2025-10-15,10000,10966.641444740597,18256.920386267502
2025-10-16,10000,10966.641444740597,17828.917586749747
2025-10-17,10000,10966.641444740597,17545.752236498454
2025-10-18,10000,10966.641444740597,17666.133817566795
2025-10-19,10000,10966.641444740597,17908.131682393756
2025-10-20,10000,10966.641444740597,18224.910815583542
2025-10-21,10000,10966.641444740597,17876.84954343035
2025-10-22,10000,10966.641444740597,17746.937963077857
2025-10-23,10000,10966.641444740597,18139.346820389484
2025-10-24,10000,10966.641444740597,18298.24494544388
2025-10-25,10000,10966.641444740597,18398.410362129645
