,P_Downtrend,P_Sideways,P_Uptrend
2016-05-22,0.9718412208415178,0.001057057302711832,0.027101721855770443
2016-05-23,0.8824925220751092,0.006175036560380818,0.11133244136450997
2016-05-24,0.7225570724353629,0.015774109257454996,0.2616688183071821
2016-05-25,0.3702445988953407,0.04638381920459359,0.5833715819000657
2016-05-26,0.12453315878126736,0.1049582121835515,0.7705086290351812
2016-05-27,0.0048935165431854,0.12609566187726293,0.8690108215795518
2016-05-28,0.0003018206693701947,0.049916618553529246,0.9497815607771005
2016-05-29,0.0014419765357622332,0.002921924152244349,0.9956360993119935
2016-05-30,0.0014870061131427859,0.0011892311097851016,0.997323762777072
2016-06-01,0.0018807354587740185,0.0006215048199024606,0.9974977597213236
2016-06-02,0.0023085198078636555,0.0003916357654184662,0.9972998444267179
2016-06-03,0.0009924343100435969,0.00029527740885201446,0.9987122882811044
2016-06-04,0.0014038461464866317,0.0002000712098363352,0.9983960826436771
2016-06-05,0.0015385140169213007,0.00012192591093662536,0.9983395600721421
2016-06-06,0.000991935620833639,7.6055922461808e-05,0.9989320084567046
2016-06-07,0.0020913827530981127,9.357610105027478e-05,0.9978150411458516
2016-06-08,0.002060890105664825,9.459447045049335e-05,0.9978445154238847
2016-06-09,0.003415184404559931,8.055442473311673e-05,0.9965042611707069
2016-06-10,0.0033008918522711584,6.498559764485331e-05,0.996634122550084
2016-06-11,0.00121299378735394,4.3611112312769585e-05,0.9987433951003333
2016-06-12,0.0004974697485604905,1.8016920005922686e-05,0.9994845133314335
2016-06-13,0.0003360346657961254,1.1386087044975896e-05,0.9996525792471589
2016-06-14,0.0011001414546156208,1.0031147099508075e-05,0.998889827398285
2016-06-15,0.0009380648122398079,7.121651571087573e-06,0.9990548135361891
2016-06-16,0.0003239711121919038,3.5666780986832765e-06,0.9996724622097095
2016-06-17,0.0011385691933700935,5.210605066605678e-06,0.9988562202015633
2016-06-18,0.0013889441248309574,6.703264671121824e-06,0.998604352610498
2016-06-19,0.0011588051242506455,4.119625590006774e-06,0.9988370752501594
2016-06-20,0.004748304326020789,4.9254053924010705e-06,0.9952467702685868
2016-06-21,0.15897615554589478,1.4412280029841158e-05,0.8410094321740753
2016-06-22,0.8525475351167766,6.02312615023363e-06,0.14744644175707308
2016-06-23,0.7833061172158363,1.1261289448363567e-05,0.21668262149471526
2016-06-24,0.4003270275802723,3.7906934346823076e-05,0.5996350654853809
2016-06-25,0.3233478929207609,6.570286462938915e-05,0.6765864042146097
