rule,asset,model,total_return,annualized_sharpe,max_drawdown,n_trades,win_rate,final_equity,n_days,span_start,span_end,k
defensive,btc,xgboost,4.992525213073855,0.8169089684847095,-0.28605297449048195,244,0.5573770491803278,5.992525213073855,2400,2019-01-26,2025-09-05,1.0
prob_weighted,btc,xgboost,1.9367920994580543,0.9323624671046784,-0.1807140086265271,239,0.5523012552301255,2.9367920994580543,2400,2019-01-26,2025-09-05,1.0
stateful,btc,lightgbm,8.819480738342598,0.8484906340906588,-0.4951169752876766,130,0.6076923076923076,9.819480738342598,2400,2019-01-26,2025-09-05,1.0
defensive,btc,lightgbm,3.2830687392711813,0.6856409427399127,-0.3572272504879048,229,0.5502183406113537,4.283068739271181,2400,2019-01-26,2025-09-05,1.0
prob_weighted,btc,lightgbm,2.7819829959716458,0.8957688717126352,-0.22606828468672446,254,0.594488188976378,3.7819829959716458,2400,2019-01-26,2025-09-05,1.0
stateful,btc,random_forest,39.89733039504632,1.2561945038296947,-0.3386577468450478,116,0.5862068965517241,40.89733039504632,2400,2019-01-26,2025-09-05,1.0
defensive,btc,random_forest,5.317236747312149,0.8594822550377079,-0.45236196801857553,198,0.5252525252525253,6.317236747312149,2400,2019-01-26,2025-09-05,1.0
prob_weighted,btc,random_forest,1.0309118468734004,0.9666923133821979,-0.1152089520708427,206,0.5145631067961165,2.0309118468734004,2400,2019-01-26,2025-09-05,1.0
stateful,btc,mlp,10.989391145458043,0.8719625690868529,-0.5229005866144986,135,0.5333333333333333,11.989391145458043,2400,2019-01-26,2025-09-05,1.0
defensive,btc,mlp,16.292452591410925,1.1416648566011054,-0.30476329551942427,216,0.5648148148148148,17.292452591410925,2400,2019-01-26,2025-09-05,1.0
prob_weighted,btc,mlp,4.956478728105691,0.9790778951395271,-0.2789000988144369,221,0.5746606334841629,5.956478728105691,2400,2019-01-26,2025-09-05,1.0
buy_and_hold,btc,benchmark,29.71539186474515,0.9513212296677952,-0.7663456370856906,1,1.0,30.71539186474515,2400,2019-01-26,2025-09-05,1.0
stateful,eth,xgboost,-0.19081617718246557,0.09690201276379522,-0.6332055708385739,79,0.5443037974683544,0.8091838228175344,1200,2022-03-16,2025-07-06,0.4
defensive,eth,xgboost,-0.07810878982323,0.14384068766103453,-0.6179045776810235,109,0.6055045871559633,0.92189121017677,1200,2022-03-16,2025-07-06,0.4
prob_weighted,eth,xgboost,0.059803795288144945,0.16195342280505304,-0.21593588832945387,113,0.6460176991150443,1.059803795288145,1200,2022-03-16,2025-07-06,0.4
stateful,eth,lightgbm,0.4524187585194148,0.39595266894288894,-0.510024228387266,106,0.5566037735849056,1.4524187585194148,1200,2022-03-16,2025-07-06,0.4
defensive,eth,lightgbm,0.19694254362047192,0.29314077604595173,-0.5471941531921445,149,0.5637583892617449,1.196942543620472,1200,2022-03-16,2025-07-06,0.4
prob_weighted,eth,lightgbm,0.29230778202037744,0.4356495748506527,-0.21032843662502887,128,0.5625,1.2923077820203774,1200,2022-03-16,2025-07-06,0.4
stateful,eth,random_forest,-0.20927794981245784,0.10650993677652763,-0.6336381351917506,77,0.45454545454545453,0.7907220501875422,1200,2022-03-16,2025-07-06,0.4
