Date,regime_state,regime_label,P_Bull,P_Neutral,P_Bear
2024-06-28,1,Neutral,0.37424595659424653,0.6257468574733457,7.185932524270119e-06
2024-06-29,1,Neutral,0.37424595659424653,0.6257468574733457,7.185932524270119e-06
2024-06-30,1,Neutral,0.37424595659424653,0.6257468574733457,7.185932524270119e-06
2024-07-01,0,Bull,0.6198958835211085,0.38009838666898016,5.729810708581307e-06
2024-07-02,1,Neutral,0.3672086620787533,0.6327843384867081,6.999434469535524e-06
2024-07-03,0,Bull,0.6271253561844786,0.37286847922179783,6.164593516890455e-06
2024-07-04,1,Neutral,0.35977702535376466,0.6402156189376645,7.355708836633546e-06
2024-07-05,0,Bull,0.6347633963524426,0.3652274338716763,9.169775908951149e-06
2024-07-06,0,Bull,0.6347633963524426,0.3652274338716763,9.169775908951149e-06
2024-07-07,0,Bull,0.6347633963524426,0.3652274338716763,9.169775908951149e-06
2024-07-08,1,Neutral,0.35202204612275373,0.6479680267558338,9.927121068307484e-06
2024-07-09,0,Bull,0.6427193769018208,0.35727430925530373,6.313843385973249e-06
2024-07-10,1,Neutral,0.34380699711741997,0.6561835514049845,9.45147788377226e-06
2024-07-11,0,Bull,0.6512278613875164,0.3487667529390831,5.385674163362177e-06
2024-07-12,1,Neutral,0.3349687598951534,0.6650244536792805,6.786425440366694e-06
2024-07-13,1,Neutral,0.3349687598951534,0.6650244536792805,6.786425440366694e-06
2024-07-14,1,Neutral,0.3349687598951534,0.6650244536792805,6.786425440366694e-06
2024-07-15,0,Bull,0.660303562803742,0.3396908537195554,5.583476777679825e-06
2024-07-16,1,Neutral,0.32567888763968567,0.6743121188977473,8.993463315850256e-06
2024-07-17,0,Bull,0.6699068721239717,0.33008589201657323,7.235858815428654e-06
2024-07-18,1,Neutral,0.3154754922784918,0.6845129284078545,1.1579312908529956e-05
2024-07-19,0,Bull,0.6802482478395844,0.3197279566813523,2.3795479200756145e-05
2024-07-20,0,Bull,0.6802482478395844,0.3197279566813523,2.3795479200756145e-05
2024-07-21,0,Bull,0.6802482478395844,0.3197279566813523,2.3795479200756145e-05
2024-07-22,1,Neutral,0.30443897985177604,0.6955437779406979,1.724220788471728e-05
2024-07-23,0,Bull,0.6918448575191922,0.30809902106498577,5.6121415326104183e-05
2024-07-24,1,Neutral,0.29228001548545296,0.7074321331088642,0.0002878514055576627
2024-07-25,0,Bull,0.7033456547123852,0.2963468447225714,0.0003075005653921113
2024-07-26,1,Neutral,0.2802706790579061,0.7194503247898867,0.00027899615278942006
2024-07-27,1,Neutral,0.2802706790579061,0.7194503247898867,0.00027899615278942006
2024-07-28,1,Neutral,0.2802706790579061,0.7194503247898867,0.00027899615278942006
2024-07-29,0,Bull,0.7150138066019335,0.2833337635568489,0.0016524298409361857
2024-07-30,1,Neutral,0.2574045067551099,0.7315926821238875,0.011002811121596527
2024-07-31,0,Bull,0.6981496107477326,0.2599001496477246,0.041950239604706646
2024-08-01,1,Neutral,0.04246066032799483,0.7112203835406631,0.2463189561308685
2024-08-02,2,Bear,0.00036254335111665425,0.035099314239901876,0.9645381424088832
2024-08-03,2,Bear,0.00036254335111665425,0.035099314239901876,0.9645381424088832
2024-08-04,2,Bear,0.00036254335111665425,0.035099314239901876,0.9645381424088832
2024-08-05,2,Bear,2.807089165627462e-20,5.545114628225097e-18,1.0
2024-08-06,2,Bear,6.171234940600653e-11,3.721389445620855e-09,0.999999996216502
2024-08-07,2,Bear,4.1060425431445646e-12,8.458360100576608e-11,0.9999999999108695
2024-08-08,2,Bear,4.988150372371367e-06,2.5483180946675806e-06,0.9999924635314759
2024-08-09,2,Bear,9.084230203752712e-06,0.00011369856449666134,0.999877217204435
2024-08-10,2,Bear,9.084230203752712e-06,0.00011369856449666134,0.999877217204435
2024-08-11,2,Bear,9.084230203752712e-06,0.00011369856449666134,0.999877217204435
2024-08-12,2,Bear,2.6159828484921237e-06,9.223491799097602e-06,0.999988160524537
2024-08-13,2,Bear,3.340301719270222e-05,2.869806948584584e-05,0.9999378989125451
2024-08-14,2,Bear,0.0003330309744688667,0.0001621080362455791,0.9995048609890482
2024-08-15,2,Bear,0.007092551722648145,0.004072692865254612,0.9888347554115072
2024-08-16,2,Bear,0.02735840510507913,0.016893843032901187,0.9557477518619817
2024-08-17,2,Bear,0.02735840510507913,0.016893843032901187,0.9557477518619817
2024-08-18,2,Bear,0.02735840510507913,0.016893843032901187,0.9557477518619817
2024-08-19,2,Bear,0.04511068313032172,0.04343593877264155,0.9114533780964059
2024-08-20,0,Bull,0.39141640130442296,0.18538626388055285,0.4231973348157881
2024-08-21,1,Neutral,0.3294855373272028,0.4803669048770717,0.1901475577958326
2024-08-22,0,Bull,0.5945850080449779,0.3841998052548006,0.021215186700409384
2024-08-23,1,Neutral,0.3869015653079992,0.6110493576471294,0.0020490770446796713
2024-08-24,1,Neutral,0.3869015653079992,0.6110493576471294,0.0020490770446796713
2024-08-25,1,Neutral,0.3869015653079992,0.6110493576471294,0.0020490770446796713
2024-08-26,0,Bull,0.6039598754163862,0.39591895805246197,0.00012116653067284667
2024-08-27,1,Neutral,0.3860500927774525,0.6139359193140939,1.398790807907973e-05
2024-08-28,0,Bull,0.6057103263169519,0.39427537890034403,1.4294782127354006e-05
2024-08-29,1,Neutral,0.38375772304446476,0.6162274712983112,1.4805656631850911e-05
2024-08-30,0,Bull,0.6083780899612214,0.39147597372425413,0.00014593631542472195
2024-08-31,0,Bull,0.6083780899612214,0.39147597372425413,0.00014593631542472195
2024-09-01,0,Bull,0.6083780899612214,0.39147597372425413,0.00014593631542472195
2024-09-02,1,Neutral,0.3781679225184822,0.6190471712732167,0.0027849062091730116
2024-09-03,0,Bull,0.5484040158393532,0.38516325775596744,0.06643272640433855
2024-09-04,1,Neutral,0.32758315262260657,0.559267871776793,0.11314897560147041
2024-09-05,0,Bull,0.5268343118198465,0.3337660737232391,0.13939961445644672
2024-09-06,1,Neutral,0.2837334275230008,0.5374203838300516,0.17884618864623938
2024-09-07,1,Neutral,0.2837334275230008,0.5374203838300516,0.17884618864623938
2024-09-08,1,Neutral,0.2837334275230008,0.5374203838300516,0.17884618864623938
2024-09-09,0,Bull,0.5658435207156983,0.3023350145502673,0.13182146473363351
2024-09-10,1,Neutral,0.3408061207072188,0.6161671608641932,0.043026718428804414
2024-09-11,0,Bull,0.6313064221962046,0.35371676496238036,0.014976812841865174
2024-09-12,1,Neutral,0.3437201337815125,0.6442766119029735,0.012003254315149143
2024-09-13,0,Bull,0.6370456671139031,0.34986980816851065,0.013084524716935456
2024-09-14,0,Bull,0.6370456671139031,0.34986980816851065,0.013084524716935456
