Date,RSI_14,Stoch_K_14,Stoch_D_3,MACD_line,MACD_signal,MACD_histogram,Williams_R_14,CCI_20,ROC_10,BB_upper,BB_lower,BB_bandwidth,BB_pct_b,ATR_14,hist_volatility_20,OBV,Volume_SMA_20,Volume_ROC
2015-10-15,70.3659258148231,91.51816960823247,91.42909034346184,4.1083616511446905,2.779639400838523,1.3287222503061678,-8.481830391767533,172.50850262902927,5.797835942449221,253.4625748249269,230.4957229045653,9.491252460433639,1.0373334796717042,4.104795853028976,0.16789982887660096,130128864,20272585.0,8.088824515017624
2015-10-16,76.89426034304489,88.81154923363695,89.35942679413972,5.129639972892079,3.249639515249234,1.8800004576428448,-11.188450766363045,227.0003126333491,6.829951782790335,257.52423096043333,229.28696593898073,11.600910250750474,1.1892802674981267,4.683668641568201,0.19456694328718233,166030364,21381455.0,30.38449106776442
2015-10-17,80.9931787207507,91.96018843517133,90.76330242568027,6.491240325331233,3.897959677265634,2.5932806480655994,-8.039811564828657,259.02622619965473,11.388704392379028,262.9249789295339,227.67451905630594,14.37036116748957,1.218863406226454,5.1499064911102055,0.20537110708969789,209229964,22832440.0,87.8308810741243
2015-10-18,66.32348107538726,67.33985223489093,82.70386330123308,6.766336837735253,4.471635109359558,2.2947017283756947,-32.66014776510907,173.7204281032042,7.98129805880299,265.17106842078266,227.678530273065,15.214596196113602,0.9058995943195784,5.55998397109787,0.23945936247455848,186795664,22718505.0,21.166278699237928
2015-10-19,67.58426058421881,69.67588420622769,76.32530829209668,7.047870659087238,4.986882219305095,2.060988439782143,-30.32411579377231,131.73630269815177,7.996528519299896,267.33741400403545,228.1871862156911,15.801527420024868,0.9003734459382465,5.439200727068558,0.23303869882923361,212054464,22846880.0,45.55785421624954
2015-10-20,71.45059108493993,86.91826974617038,74.64466872909635,7.6688346066063104,5.523272696765338,2.145561909840972,-13.081730253829612,142.50686489482283,10.011398257948489,270.38055049675,228.4843512366484,16.79661131281255,0.9780997365479095,5.5941150829196875,0.23871736765750637,242944264,23404195.0,94.12041953911027
2015-10-21,66.90014779842059,76.77391376477625,77.78935590572479,7.813397229226695,5.98129760325761,1.832099625969085,-23.22608623522375,116.57339400462156,7.78061116560409,272.2939033487301,229.44329910488318,17.08089574952679,0.8594675552150074,5.689606845272523,0.2476265958424929,217306964,23661620.0,52.355398667641275
2015-10-22,71.62696111387137,92.7678307175062,85.4866714094843,8.45593093448565,6.476224269503218,1.979706664982432,-7.2321692824938,132.30200203198623,11.705697227102533,275.4189427483783,229.99126080386782,17.97655909011123,0.9692713245598319,6.024277784895914,0.25909156311388604,255115564,24568155.0,117.43701224386514
2015-10-23,72.95403216110773,93.855688903972,87.79914446208483,9.060252357911082,6.993029887184791,2.067222470726291,-6.144311096028,136.89412620367366,10.816489678539725,278.5891627673209,230.5976414318978,18.85026121637137,0.9563847839824516,5.961185886756027,0.2591279771667012,284558064,25216145.0,4.411582176356887
2015-10-24,75.52530437246402,99.86296880811412,95.49549614319746,9.841936369492373,7.562811183646308,2.2791251858460653,-0.13703119188588775,137.96045449943003,11.77233667856522,282.25938382800786,231.26691927257804,19.859728410227813,0.9881278119410951,5.907529141636177,0.2595459116798521,310500464,25863315.0,-5.535528318513183
