,regime_state,regime_label,P_Bull,P_Neutral,P_Bear
2007-10-15,0,Bull,0.8072084048130274,0.18311518567849322,0.009676409509149133
2007-10-16,1,Neutral,0.14767437394666547,0.8211699784675344,0.031155647585220624
2007-10-17,0,Bull,0.7816205839151011,0.14943440270884686,0.06894501337560971
2007-10-18,1,Neutral,0.01628911783320666,0.7940955475964024,0.18961533457003468
2007-10-19,2,Bear,0.002991774319006907,0.009513259410844209,0.987494966269505
2007-10-22,2,Bear,0.0021495159363140574,0.0029884986119467116,0.9948619854520478
2007-10-23,2,Bear,0.0017444558466161559,0.002351776187372167,0.9959037679663484
2007-10-24,2,Bear,0.0008167181865245514,0.001835149155771399,0.9973481326574601
2007-10-25,2,Bear,0.0003157761155493364,0.0008783227746922565,0.9988059011103265
2007-10-26,2,Bear,0.0001071511094356405,0.0003414813032783927,0.9995513675867468
2007-10-29,2,Bear,5.334690526848491e-05,0.00013296575265073254,0.9998136873416279
2007-10-30,2,Bear,9.969470295249252e-05,8.993405259346036e-05,0.9998103712452615
2007-10-31,2,Bear,1.955806985102381e-05,0.00018009194386161667,0.9998003499861209
2007-11-01,2,Bear,2.191331263252873e-06,2.249164557035395e-05,0.9999753170240582
2007-11-02,2,Bear,3.8937897805350343e-07,9.80622018696144e-06,0.9999898044017278
2007-11-05,2,Bear,1.0878941122856693e-06,1.3554696094809514e-06,0.9999975566363738
2007-11-06,2,Bear,1.0875622586796648e-06,4.854658259579018e-05,0.9999503658549609
2007-11-07,2,Bear,1.087857958048981e-10,9.791487534498229e-09,0.9999999900992407
2007-11-08,2,Bear,1.9363510551638803e-09,1.0190600519413277e-07,0.9999998961575383
2007-11-09,2,Bear,1.4716104502349182e-11,9.199358566645839e-10,0.9999999990650394
2007-11-12,2,Bear,1.4876805533593033e-13,4.55179237868711e-12,0.999999999994543
2007-11-13,2,Bear,3.021887743128232e-08,1.3970993205163697e-06,0.9999985726818704
2007-11-14,2,Bear,2.283555626992312e-09,1.0714790928209992e-07,0.9999998905677845
2007-11-15,2,Bear,9.46546780571521e-11,4.480737540352688e-09,0.9999999954252417
2007-11-16,2,Bear,3.1017945740823532e-09,1.2429500676655993e-07,0.9999998726034472
2007-11-19,2,Bear,3.003169139984314e-09,9.753440699023715e-08,0.9999998994626417
2007-11-20,2,Bear,8.757150772057366e-09,4.5472408078209767e-07,0.9999995365179694
2007-11-21,2,Bear,2.405180508172893e-10,1.374422762448016e-08,0.9999999860156096
2007-11-22,2,Bear,7.777785444930197e-10,3.3826332373434626e-08,0.9999999653955461
2007-11-23,2,Bear,5.218812092760625e-09,2.547202895918346e-07,0.999999740060991
2007-11-26,2,Bear,1.8334152258498222e-11,9.419936575639028e-10,0.9999999990395736
2007-11-27,2,Bear,1.6045149998979538e-09,7.679089041121902e-08,0.9999999216051978
2007-11-28,2,Bear,1.1114148659618232e-10,3.7830220687034746e-09,0.9999999961055437
2007-11-29,2,Bear,1.4809801088238066e-10,4.247522257243348e-09,0.9999999956035026
2007-11-30,2,Bear,5.322251058687735e-09,1.9492405066474577e-07,0.9999997997529335
2007-12-03,2,Bear,2.4607577074623866e-11,7.183354751871303e-10,0.9999999992578523
2007-12-04,2,Bear,1.4100189729819965e-08,1.0067214717482556e-07,0.9999998852272322
2007-12-05,2,Bear,5.24083991600838e-07,4.464005356099721e-06,0.9999950119105765
2007-12-06,2,Bear,2.0277258028457165e-06,4.429885471079843e-06,0.9999935423883701
2007-12-07,2,Bear,1.648522283316318e-06,2.0421379967187183e-05,0.9999779300976837
2007-12-10,2,Bear,1.6271504978485536e-07,3.725900680364937e-06,0.9999961113847468
2007-12-11,2,Bear,3.25957615054458e-07,1.2396016739780958e-06,0.9999984344407016
2007-12-12,2,Bear,3.6991358301641648e-06,1.1405307694186745e-05,0.9999848955571222
2007-12-13,2,Bear,1.557155891679138e-06,1.743811186847563e-05,0.9999810047323676
2007-12-14,2,Bear,9.52198115924837e-08,5.252834573651597e-06,0.9999946519453479
2007-12-17,2,Bear,1.9584937848112732e-08,8.040921078742112e-08,0.9999999000065195
2007-12-18,2,Bear,1.9023298959565248e-05,1.5759003776106793e-05,0.9999652176967309
2007-12-19,2,Bear,5.160787278715872e-05,9.402583997683445e-05,0.9998543662868554
2007-12-20,2,Bear,0.00047935403227043923,0.0001564272901607118,0.9993642186776645
2007-12-21,2,Bear,0.00011522133456588415,0.0007611147779992965,0.9991236638871049
2007-12-24,2,Bear,4.3773643251610745e-05,0.00011696326463753236,0.9998392630925153
2007-12-25,2,Bear,3.842686580708572e-05,7.788857688598489e-05,0.9998836845574063
2007-12-26,2,Bear,4.533226917716276e-05,6.940273801788862e-05,0.9998852649929232
2007-12-27,2,Bear,0.00014722242780975973,0.00011208269221018014,0.9997406948800767
2007-12-28,2,Bear,3.9827931445038344e-05,0.00023418073805107198,0.9997259913303614
2007-12-31,2,Bear,7.992574730614902e-06,5.018168591382228e-05,0.9999418257398978
2008-01-01,2,Bear,9.394322089617896e-07,2.012087144086875e-05,0.9999789396968846
2008-01-02,2,Bear,5.014686489852974e-07,2.444493426342743e-06,0.9999970540382229
2008-01-03,2,Bear,2.9437906811426726e-07,1.2581398525425732e-05,0.9999871242227003
2008-01-04,2,Bear,4.937594868151134e-09,1.831515412323175e-07,0.9999998119110564
2008-01-07,2,Bear,1.4593415965430295e-08,7.662333627789541e-07,0.9999992191736375
2008-01-08,2,Bear,2.2375073826265797e-10,6.0188702255492334e-09,0.9999999937572284
2008-01-09,2,Bear,1.3603260219366897e-07,1.3229573014917137e-06,0.9999985410096726
2008-01-10,2,Bear,4.038503632121763e-07,4.548031422881526e-06,0.9999950481173807
2008-01-11,2,Bear,5.966046332443872e-07,3.836441670163268e-06,0.9999955669543885
2008-01-14,2,Bear,9.802186577103315e-07,7.413885800404813e-06,0.9999916058957175
2008-01-15,2,Bear,2.392085836746064e-07,6.1053706794613865e-06,0.9999936554214671
2008-01-16,2,Bear,2.0484078163640858e-08,1.13230024567304e-06,0.99999884721613
2008-01-17,2,Bear,2.403527892831237e-13,1.765193680236917e-11,0.9999999999818101
2008-01-18,2,Bear,8.223355821899544e-12,5.393478968191905e-10,0.9999999994524842
2008-01-21,2,Bear,6.947781861094658e-13,4.793609950386227e-11,0.9999999999508873
2008-01-22,2,Bear,2.182775986830201e-14,1.672313535836139e-12,0.999999999998181
2008-01-23,2,Bear,1.2557939763086262e-11,7.313602106425115e-10,0.9999999992560333
2008-01-24,2,Bear,1.0775414442904798e-11,4.4346066758133384e-10,0.9999999995452526
2008-01-25,2,Bear,2.8984856766172944e-12,1.3226479497207288e-10,0.9999999998653948
2008-01-28,2,Bear,2.7659116331722322e-12,1.0639816614500259e-10,0.9999999998908606
