Date,P1_down,P1_range,P1_up,P1_down_smooth10,P1_range_smooth10,P1_up_smooth10,P2_Bull,P2_Neutral,P2_Bear,regime_age_days,RSI_14,MACD_signal_diff,Bollinger_pct_b,Stochastic_K_14,volume_zscore_20,OBV_change_20d,RSI_14_x_PBull,RSI_14_x_PBear,MACD_signal_diff_x_PBull,MACD_signal_diff_x_PBear,Bollinger_pct_b_x_PBull,Bollinger_pct_b_x_PBear,signal_label,forward_return,eps_threshold
2021-05-10,0.1260104345185872,0.560001490503471,0.3139880749779417,0.08370525344636885,0.47289730141719505,0.44339744513643614,1.0,0.0,0.0,83,81.56111143885676,93.01060569856946,0.9226222415617554,85.67960604350303,1.831716542971828,0.2888051284966967,81.56111143885676,0.0,93.01060569856946,0.0,0.9226222415617554,0.0,Sell,-0.07949101948062698,0.02763761710770047
2021-05-11,0.1110473698483241,0.5463604458511202,0.3425921843005552,0.0893134669076896,0.4874518414340549,0.4232346916582555,0.0,1.0,0.0,1,83.83079687418248,96.34808596123713,0.9510513385626808,98.23851349371904,0.8681938346448851,0.29072133222269714,0.0,0.0,0.0,0.0,0.0,0.0,Sell,-0.13941874084919473,0.02774461724024997
2021-05-12,0.2715386673929494,0.5372642817662389,0.1911970508408117,0.11142250651849603,0.4942717098393656,0.3943057836421384,0.0,0.0,1.0,1,67.90571382432792,65.69208543488844,0.7635773785063374,65.89238071948694,2.0066132908475183,0.19077300638347888,0.0,67.90571382432792,0.0,65.69208543488844,0.0,0.7635773785063374,Sell,-0.1329823182498351,0.03090909304107362
2021-05-13,0.3177037559753417,0.5289324731239081,0.1533637709007494,0.13815054451071468,0.5135770006156617,0.3482724548736237,0.0,0.0,1.0,2,65.43368650710622,35.1077756998593,0.7117310465993287,60.39592422856207,2.290262091703702,0.18141932805936645,0.0,65.43368650710622,0.0,35.1077756998593,0.0,0.7117310465993287,Sell,-0.0901924579266895,0.030946084513509556
2021-05-14,0.2019452240614974,0.6244988166597049,0.1735559592787977,0.15176136322764683,0.5331112253638597,0.31512741140849343,0.0,0.0,1.0,3,71.23768815149407,33.827402101312316,0.841548187067073,82.36517792512356,0.19094079637548192,0.2476699129500353,0.0,71.23768815149407,0.0,33.827402101312316,0.0,0.841548187067073,Sell,-0.3967529813436452,0.030116872086385704
2021-05-15,0.3370258019743362,0.5358463971024482,0.127127800923215,0.17853069419369683,0.544685708557652,0.2767835972486512,0.0,0.0,1.0,4,58.43468131478693,-0.4590912549038535,0.6237577075519071,51.7767533077037,-0.249106829331344,0.18578934349929263,0.0,58.43468131478693,-0.0,-0.4590912549038535,0.0,0.6237577075519071,Sell,-0.2346891787460102,0.03390291742868789
2021-05-16,0.324440020887854,0.5076692643278514,0.1678907147842942,0.20182740235321978,0.5464950780438294,0.25167751960295087,0.0,0.0,1.0,5,57.164613872006605,-28.725511878723864,0.5788707898561072,45.09223946969052,0.058204868351053075,0.1203746206470196,0.0,57.164613872006605,-0.0,-28.725511878723864,0.0,0.5788707898561072,Sell,-0.3224760410836082,0.03314157306621615
2021-05-17,0.2308918709366904,0.6614611859794427,0.1076469430838666,0.21497156310012153,0.5565386779338193,0.22848975896605922,0.0,0.0,1.0,6,50.09633940508207,-67.91253625935752,0.39300520666174316,12.436853790593709,0.47301066131039804,0.05567524660147815,0.0,50.09633940508207,-0.0,-67.91253625935752,0.0,0.39300520666174316,Sell,-0.30060103233236646,0.03489327463625524
2021-05-18,0.1735640653238188,0.7149319597511288,0.1115039749250518,0.22159424069493505,0.5761401562623006,0.20226560304276422,0.0,0.0,1.0,7,52.136628170184196,-86.03082128497033,0.4252500214193234,20.356180252141428,-0.5650743423624354,0.05864253813109876,0.0,52.136628170184196,-0.0,-86.03082128497033,0.0,0.4252500214193234,Sell,-0.3758768926916574,0.03488248075209847
2021-05-19,0.2406756333785218,0.6754570711004453,0.0838672955210327,0.23348428442979222,0.5892423386165762,0.17727337695363168,0.0,0.0,1.0,8,36.85999426050965,-154.70435601612837,-0.08635090674258915,21.08888429852118,2.2462005718981986,-0.02276999047860414,0.0,36.85999426050965,-0.0,-154.70435601612837,-0.0,-0.08635090674258915,Buy,0.07433389337888838,0.04724667775780692
2021-05-20,0.2796187863020511,0.6563639750671688,0.0640172386307804,0.24884511960813854,0.598878587072946,0.15227629331891554,0.0,0.0,1.0,9,43.17190640458324,-171.78662909872122,0.09743101711098574,34.51750299440447,1.0298240301948438,0.003057379256275481,0.0,43.17190640458324,-0.0,-171.78662909872122,0.0,0.09743101711098574,Hold,-0.02789406503713588,0.04952358758053296
2021-05-21,0.1442508816442491,0.805373704592434,0.050375413763317,0.25216547078773105,0.6247799129470772,0.1230546162651917,0.0,0.0,1.0,10,38.627185945311034,-198.46840920572174,-0.03610836553915446,19.84161340326136,0.006448489602863137,-0.05128244514608656,0.0,38.627185945311034,-0.0,-198.46840920572174,-0.0,-0.03610836553915446,Buy,0.18846102658493896,0.051148394373852664
2021-05-22,0.1542557118568938,0.7557628973287582,0.089981390814348,0.24043717523412547,0.6466297745033293,0.11293305026254531,0.0,0.0,1.0,11,37.025941134389385,-215.35535589473395,-0.030569111811871955,14.243193966595383,-0.9785325469049303,-0.09565574227023509,0.0,37.025941134389385,-0.0,-215.35535589473395,-0.0,-0.030569111811871955,Buy,0.19200326271560456,0.05145852944816669
2021-05-23,0.204520497671611,0.6993372191955808,0.096142283132808,0.22911884940375243,0.6636702491104963,0.10721090148575117,0.0,0.0,1.0,12,34.87789635857929,-227.995110758245,-0.01664531560941549,14.176298486650627,0.1019101911613149,-0.15856932392401016,0.0,34.87789635857929,-0.0,-227.995110758245,-0.0,-0.01664531560941549,Buy,0.14710342363745002,0.047992048575124006
2021-05-24,0.0868238688445724,0.8784827201467504,0.0346934110086771,0.21760671388205993,0.6890686394592009,0.0933246466587391,0.0,0.0,1.0,13,44.776806764156845,-190.83310565464626,0.22505150942440297,34.520499248664095,-0.04831202844883003,-0.089365155153032,0.0,44.776806764156845,-0.0,-190.83310565464626,0.0,0.22505150942440297,Sell,-0.13772058363807146,0.05661295474063808
2021-05-25,0.0909703029899605,0.8656567511509428,0.0433729458590967,0.19300116398362233,0.7220496748640505,0.08494916115232727,0.0,0.0,1.0,14,45.823703662583426,-154.02589007488933,0.2711638416473722,36.92204894639975,-0.3883860566216497,-0.08586320542165228,0.0,45.823703662583426,-0.0,-154.02589007488933,0.0,0.2711638416473722,Sell,-0.11686991356579694,0.05580202844395723
2021-05-26,0.0743874592130489,0.8620925990073299,0.0635199417796209,0.1679959078161418,0.7574920083319983,0.07451208385185994,0.0,1.0,0.0,1,48.84039515869124,-111.42314555952784,0.3551215424644224,47.306641155222195,-0.9460590890428432,-0.03192331593946695,0.0,0.0,-0.0,-0.0,0.0,0.0,Sell,-0.0601493731887212,0.056414512117592304
2021-05-27,0.0524198826842387,0.8885469879685536,0.0590331293472073,0.15014870899089663,0.7802005885309095,0.06965070247819401,0.0,1.0,0.0,2,46.508830378103646,-88.50019669388686,0.3127033921823074,41.05197990251423,-1.5961765142722562,-0.028608466107833064,0.0,0.0,-0.0,-0.0,0.0,0.0,Hold,-0.0376285936843281,0.05668408608136875
2021-05-28,0.146796264659718,0.6466747011621501,0.2065290341781317,0.14747192892448657,0.7733748626720115,0.07915320840350198,0.0,1.0,0.0,3,42.01608871224778,-89.4019530126088,0.2207738904001606,28.533374055476298,-1.0149323380203643,-0.08590668135546031,0.0,0.0,-0.0,-0.0,0.0,0.0,Buy,0.11827679274765293,0.05592633802751329
2021-05-29,0.1850775125777456,0.6300230092280035,0.1848994781942509,0.1419121168444089,0.7688314564847673,0.0892564266708238,0.0,1.0,0.0,4,40.16321742344516,-93.74149025906588,0.1988610959506895,25.312343024728644,-1.3496113814518844,-0.1359099524118291,0.0,0.0,-0.0,-0.0,0.0,0.0,Buy,0.2525153450452988,0.056025245731021245
2021-05-30,0.1769507542898071,0.5517212516654796,0.2713279940447138,0.1316453136431845,0.7583671841445982,0.10998750221221716,0.0,1.0,0.0,5,42.32477339166497,-83.764685896719,0.26484358881398656,35.282806707538484,-1.6652339181268514,-0.152928886756803,0.0,0.0,-0.0,-0.0,0.0,0.0,Buy,0.12462409445870572,0.05649378699363818
2021-05-31,0.1592141047870217,0.6193593542608081,0.2214265409521701,0.13314163595746178,0.7397657491114358,0.1270926149311025,0.0,1.0,0.0,6,48.22659463984234,-51.49943971845448,0.41285878939416093,53.560467065363596,-1.1991666253558355,-0.16086726746201163,0.0,0.0,-0.0,-0.0,0.0,0.0,Hold,-0.031075546094678472,0.058568256900663675
2021-06-01,0.2413384752873064,0.5029746546266958,0.2556868700859982,0.14184991230050303,0.7144869248412294,0.14366316285826747,0.0,1.0,0.0,7,46.92943534150923,-32.752490451595705,0.3966560613128657,52.694320967944094,-1.29422057863959,-0.14230540081685264,0.0,0.0,-0.0,-0.0,0.0,0.0,Hold,0.030975468279043517,0.057899190601357134
2021-06-02,0.190381484782134,0.5861299495585223,0.2234885656593435,0.14043601101155537,0.7031661978775237,0.15639779111092106,0.0,1.0,0.0,8,48.26565706432354,-13.556573968663642,0.4497710417846943,77.14218108352091,-1.200813919762362,-0.08173335883084405,0.0,0.0,-0.0,-0.0,0.0,0.0,Hold,-0.042814658009607834,0.058054349069146034
2021-06-03,0.2038450680761631,0.5294012252286923,0.2667537066951449,0.1521381309347144,0.6682580483857178,0.17960382067956782,0.0,1.0,0.0,9,50.992653639249156,9.820699073172293,0.5645593989277896,93.08102775477937,-0.9539686820296253,-0.09051975971500321,0.0,0.0,0.0,0.0,0.0,0.0,Sell,-0.11827418095089716,0.05720471857996669
2021-06-04,0.2655458086276168,0.4432684511934884,0.2911857401788952,0.16959568149848,0.6260192183899723,0.20438510011154762,0.0,1.0,0.0,10,47.94357753362574,14.40880962492406,0.49211463955147633,80.96339616827903,-0.6395368367801572,-0.08771819027361234,0.0,0.0,0.0,0.0,0.0,0.0,Hold,-0.02973295333229133,0.05636291511823264
2021-06-05,0.3024932062249199,0.4458162136800302,0.2516905800950502,0.19240625619966714,0.5843915798572423,0.22320216394309061,0.0,1.0,0.0,11,46.9011398047201,13.922995323625415,0.4824165061418719,76.05666101916567,-0.8148481724609935,-0.07939125999727256,0.0,0.0,0.0,0.0,0.0,0.0,Sell,-0.0604651965694535,0.05637808739848824
2021-06-06,0.1936273065868724,0.5890450640766134,0.2173276293365143,0.20652699858993046,0.5544413874680483,0.23903161394202121,0.0,1.0,0.0,12,48.66434289572823,19.321339036468657,0.5859614468938552,76.05117612375561,-1.044144403142323,-0.028389525592314578,0.0,0.0,0.0,0.0,0.0,0.0,Sell,-0.13307978944377405,0.05582376357065045
