Date,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,ADX_14,DI_plus_14,DI_minus_14,PSAR,PSAR_up,PSAR_down,SMA20_SMA50_cross,SMA50_SMA200_cross,price_dist_SMA20_pct,price_dist_SMA50_pct,price_dist_SMA200_pct
2020-01-10,7481.605029296875,7372.954931640625,9202.391267089844,7708.20991133693,7544.720219218248,20.132733868187973,30.971981571995595,17.019964211255367,7146.824694520625,0.0,0.0,108.65009765625018,-1829.4363354492198,9.155109996313813,10.763652767934854,-11.256172855587204
2020-01-11,7507.9024658203125,7387.774130859375,9183.624370117188,7758.87570923221,7581.225210213655,20.917920869627817,30.797532957642893,16.176652452158294,7221.819509724387,0.0,0.0,120.12833496093754,-1795.850239257813,7.054368836663752,8.795118195110438,-12.479678243267623
2020-01-12,7549.745751953125,7403.668076171875,9159.50568359375,7825.586237138793,7626.504390244126,21.532402369171106,29.219491082093267,15.899937218770921,7292.3146360159235,0.0,0.0,146.07767578125004,-1755.837607421875,8.513510385506626,10.654530380581209,-10.557464304005338
2020-01-13,7590.828857421875,7425.593623046875,9144.312622070312,7874.60286772321,7664.85179362882,22.102992333032727,28.2555483608075,15.375402800704766,7358.580054729968,0.0,0.0,165.2352343749999,-1718.7189990234374,7.289921679298252,9.677350382605077,-10.937052651928925
2020-01-14,7668.459301757813,7459.226240234375,9126.41478515625,8021.243141679254,7750.993486577611,24.24260268411951,39.89969601577592,12.580038613407298,7420.8695483211695,0.0,0.0,209.23306152343775,-1667.1885449218753,15.117839204205518,18.34692184051686,-3.2723708460467167
2020-01-15,7746.861499023437,7490.999033203125,9110.652983398437,8142.130464834369,7829.216986993159,26.247631502834828,37.84403730333196,11.848419382899007,7537.560921955476,0.0,0.0,255.86246582031254,-1619.653950195312,13.684887012601221,17.567906538917992,-3.332826327204407
2020-01-16,7818.54638671875,7514.841484375,9100.186137695313,8231.61595221562,7895.481368164961,27.850318624263224,35.60060220061611,12.286598328844253,7672.816548509929,0.0,0.0,303.7049023437503,-1585.3446533203132,11.5781080180258,16.08742713936363,-4.13617918565058
2020-01-17,7899.098779296875,7544.160126953125,9091.915654296876,8338.91166509591,7972.041125037001,29.55743519545288,35.89647766873937,11.413557717580037,7794.546612408936,0.0,0.0,354.9386523437506,-1547.755527343751,13.0386938487216,18.35695340077158,-1.7914548985328431
2020-01-18,7975.1065673828125,7567.79142578125,9082.62130859375,8431.818884888846,8043.949826423149,31.24672257325208,35.57777477879658,10.866145289707251,7934.175667357364,0.0,0.0,407.3151416015626,-1514.8298828125007,12.134032544780876,18.169332247774022,-1.5393432148433113
2020-01-19,8045.769067382813,7590.52373046875,9066.346186523437,8474.038305242484,8093.008736850138,31.602197646970374,30.881595763296115,14.458047421245833,8085.098827833583,0.0,0.0,455.24533691406305,-1475.8224560546869,8.208985918850535,14.69887225620793,-3.971843363660707
2020-01-20,8118.971240234375,7615.190732421875,9053.557211914063,8502.28511645518,8134.833465833462,31.609280734914822,29.457406698403044,15.276233868375122,8257.78098413021,0.0,0.0,503.7805078125002,-1438.3664794921888,6.634724054953975,13.689110126485202,-4.373028462978707
2020-01-21,8196.257250976563,7643.668857421875,9042.394384765625,8539.763487962075,8180.097248456909,31.526703224811886,27.877870297294848,14.862164042944062,8402.833995419376,0.0,0.0,552.5883935546881,-1398.7255273437495,6.705954479502811,14.420112833091691,-3.2789971427828823
2020-01-22,8281.0275390625,7670.883466796875,9029.756010742187,8561.47310159291,8217.191969057323,31.56576884864676,27.713443480679317,14.253215826032786,8524.678524902276,0.0,0.0,610.1440722656243,-1358.872543945312,4.828488199246682,13.166573500136444,-3.863670665792565
2020-01-23,8334.109106445312,7693.9730859375,9014.53435546875,8537.633489809385,8231.215943571595,30.003816914289626,25.193994501110357,20.739191230869235,9164.3623046875,0.0,1.0,640.1360205078117,-1320.5612695312493,0.8687973439019555,9.261047980072018,-6.744871187937617
2020-01-24,8385.847998046875,7713.915625,8995.33173828125,8523.449040656018,8247.083989996847,28.250570867198814,23.578429702820554,21.137659117142373,9147.7478125,0.0,0.0,671.932373046875,-1281.4161132812496,0.7105610819502514,9.483107942504885,-6.113139392386866
2020-01-25,8433.67451171875,7730.332646484375,8974.3019140625,8499.510366132015,8256.02944675634,26.622556680614487,22.558617449280064,20.223414867185173,9112.5115328125,0.0,0.0,703.3418652343744,-1243.9692675781253,-0.7805240216145598,8.246928546542641,-6.757676124782497
2020-01-26,8475.055053710938,7751.1444921875,8956.503500976563,8514.48262951555,8281.273937968834,25.705720475782424,24.7257686558731,18.734031306100512,9078.6847043125,0.0,0.0,723.9105615234375,-1205.3590087890634,1.4368641105256463,10.910460858907737,-4.0157794033391125
2020-01-27,8512.361401367187,7778.053974609375,8944.259287109375,8575.303661272774,8327.832856336883,26.075560277032682,31.986328243002816,16.891236453069762,9046.2109489525,0.0,0.0,734.3074267578122,-1166.2053125000002,4.669185386166484,14.550752219290999,-0.3850509032258294
2020-01-28,8576.29775390625,7817.207783203125,8931.9723046875,8695.809227807731,8404.185225774892,27.298307208945385,37.841290409546694,15.011881974009835,8266.8408203125,1.0,0.0,759.0899707031258,-1114.764521484376,9.121559352197615,19.71780849754117,4.776297154869261
2020-01-29,8648.17568359375,7857.97798828125,8921.593559570312,8791.320097808464,8471.77371888879,28.529180095518253,37.738893414025256,14.483836323731358,8288.67580078125,0.0,0.0,790.1976953125004,-1063.6155712890622,7.729424374285762,18.562687458612952,4.427867293040121
2020-01-30,8715.297631835938,7903.809306640625,8917.858232421875,8901.731338770624,8548.604788901657,29.957761412497963,38.37601142708908,13.29865025730054,8333.386034375,0.0,0.0,811.4883251953124,-1014.0489257812496,9.106924005983313,20.308990198855515,6.628664823258655
2020-01-31,8780.947216796874,7945.95720703125,8910.1354296875,8970.77717847899,8608.00660430709,31.283621339699092,35.547724371044545,12.321615982101907,8406.57043090625,0.0,0.0,834.9900097656246,-964.17822265625,6.486567633484746,17.676562473818347,4.942616985597782
2020-02-01,8840.966259765624,7988.421015625,8909.711596679688,9035.715304866837,8666.145003988046,32.514776986385854,34.36565005295619,11.911883261724071,8475.363763645624,0.0,0.0,852.5452441406242,-921.2905810546881,6.24262918801148,17.58112124571238,5.42288488328139
2020-02-02,8900.9748046875,8032.81484375,8907.964409179687,9083.199909406554,8716.383539572265,33.07111873201445,32.07896584297731,13.648976508767955,8540.029496420637,0.0,0.0,868.1599609374989,-875.1495654296868,4.981369337816787,16.327407218223914,4.898996057343923
2020-02-03,8924.262646484374,8075.63923828125,8901.099604492187,9115.557074786315,8759.134498446541,33.77013067174791,31.498792204170606,12.599472729692485,8600.815285229148,0.0,0.0,848.6234082031242,-825.4603662109366,4.1376957684688005,15.080939231665747,4.408689907084814
2020-02-04,8942.96025390625,8120.60888671875,8894.350756835938,9125.619507992267,8790.381046015316,33.5988605446457,29.659705433007954,15.493944757595468,8657.95392670915,0.0,0.0,822.3513671875007,-773.7418701171882,2.661340651880798,13.057567710722505,3.2224064647864274
2020-02-05,8987.442138671875,8180.067060546875,8888.582177734375,9200.666326474226,8851.347178023441,34.375398450985934,34.90871841400314,13.417749197763747,8711.66424970035,0.0,0.0,807.3750781250001,-708.5151171875004,6.965070592884283,17.52255521829791,8.154749946581251
2020-02-06,9027.480322265625,8229.127041015625,8884.235659179687,9282.071777449344,8916.417887637446,35.350744515843914,35.50468471317906,12.464816528637295,8790.835094099322,0.0,0.0,798.3532812499998,-655.1086181640621,7.779816853376579,18.236135003351027,9.517600962769679
