fold,train_start,train_end,val_start,val_end,n_train,n_val,accuracy,f1_macro,f1_downtrend,f1_range,f1_uptrend,asset,model
6,2018-01-08,2022-11-01,2022-11-15,2023-06-02,1750,200,0.62,0.5755530558680165,0.4409448818897638,0.5714285714285714,0.7142857142857143,eth,random_forest
7,2018-01-08,2023-05-23,2023-06-03,2023-12-20,1950,200,0.73,0.491437718710446,0.6891891891891891,0.0,0.7851239669421488,eth,random_forest
8,2018-01-08,2023-12-10,2023-12-21,2024-07-07,2150,200,0.675,0.6563708325807848,0.7730061349693251,0.5679012345679012,0.6282051282051282,eth,random_forest
9,2018-01-08,2024-06-27,2024-07-08,2025-01-26,2350,200,0.38,0.2914373060440372,0.29850746268656714,0.03125,0.5445544554455446,eth,random_forest
10,2018-01-08,2025-01-16,2025-01-27,2025-08-15,2550,200,0.57,0.5421190413002127,0.6616541353383458,0.3404255319148936,0.6242774566473989,eth,random_forest
1,2018-01-08,2020-01-31,2020-02-11,2020-08-28,750,200,0.525,0.4350515609052194,0.12987012987012986,0.45528455284552843,0.72,eth,mlp
2,2018-01-08,2020-08-18,2020-08-29,2021-03-18,950,200,0.585,0.41075508498188906,0.0,0.6701030927835051,0.5621621621621622,eth,mlp
3,2018-01-08,2021-03-08,2021-03-19,2021-10-04,1150,200,0.53,0.40545629707479414,0.0,0.5227272727272727,0.6936416184971098,eth,mlp
4,2018-01-08,2021-09-24,2021-10-05,2022-04-24,1350,200,0.395,0.33097100032583904,0.3333333333333333,0.06818181818181818,0.5913978494623656,eth,mlp
5,2018-01-08,2022-04-14,2022-04-25,2022-11-11,1550,200,0.39,0.38545292485957755,0.3380281690140845,0.3076923076923077,0.5106382978723404,eth,mlp
6,2018-01-08,2022-11-01,2022-11-15,2023-06-02,1750,200,0.575,0.41640286636743046,0.4411764705882353,0.13333333333333333,0.6746987951807228,eth,mlp
7,2018-01-08,2023-05-23,2023-06-03,2023-12-20,1950,200,0.63,0.3874614594039054,0.42857142857142855,0.0,0.7338129496402878,eth,mlp
8,2018-01-08,2023-12-10,2023-12-21,2024-07-07,2150,200,0.64,0.6079420488296824,0.7239263803680982,0.4657534246575342,0.6341463414634146,eth,mlp
9,2018-01-08,2024-06-27,2024-07-08,2025-01-26,2350,200,0.36,0.2970265662081519,0.36486486486486486,0.058823529411764705,0.4673913043478261,eth,mlp
10,2018-01-08,2025-01-16,2025-01-27,2025-08-15,2550,200,0.43,0.4273302405782853,0.4881889763779528,0.3669724770642202,0.4268292682926829,eth,mlp
