phase,variant,asset,arch,model,rule,annualized_sharpe,total_return,max_drawdown,n_trades,win_rate
P7,regime_aware,btc,3stage_full_regime,random_forest,prob_weighted,0.9447464426089598,1.0264670840852976,-0.1112610039930905,178,0.601123595505618
P7,regime_aware,btc,3stage_full_regime,mlp,stateful,0.6001960190539274,3.4720192036264272,-0.6952922405801019,187,0.5347593582887701
P7,regime_aware,btc,3stage_full_regime,mlp,defensive,0.7101898608313242,4.902804418055753,-0.6322745332778885,229,0.5545851528384279
P7,regime_aware,btc,3stage_full_regime,mlp,prob_weighted,0.6992170680622473,3.183640996630838,-0.4919155301564208,224,0.5401785714285714
P7,regime_aware,eth,3stage_full_regime,xgboost,stateful,0.1223976604131967,-0.1701792062207803,-0.6070349089148912,99,0.494949494949495
P7,regime_aware,eth,3stage_full_regime,xgboost,defensive,0.240634541662267,0.0869999047863567,-0.5831128964687273,154,0.5324675324675324
P7,regime_aware,eth,3stage_full_regime,xgboost,prob_weighted,0.1887165663747509,0.0880622570353413,-0.3183817615420571,128,0.5546875
P7,regime_aware,eth,3stage_full_regime,lightgbm,stateful,-0.3356748812606295,-0.6744860065140229,-0.7485426130682473,78,0.5
P7,regime_aware,eth,3stage_full_regime,lightgbm,defensive,-0.0728124438459657,-0.381154667782139,-0.6182647547517204,123,0.5284552845528455
P7,regime_aware,eth,3stage_full_regime,lightgbm,prob_weighted,0.3341595862193348,0.1466638586983926,-0.1329617852862887,95,0.5263157894736842
P7,regime_aware,eth,3stage_full_regime,random_forest,stateful,-0.0266496459072113,-0.3915329395790966,-0.6291600179485043,73,0.5342465753424658
P7,regime_aware,eth,3stage_full_regime,random_forest,defensive,-0.0353904607905444,-0.3601210571797482,-0.6474842066156219,117,0.5042735042735043
P7,regime_aware,eth,3stage_full_regime,random_forest,prob_weighted,0.2095158491217774,0.0614291678373184,-0.1046599372058123,91,0.5714285714285714
P7,regime_aware,eth,3stage_full_regime,mlp,stateful,-0.4751255890197943,-0.7775272687804031,-0.8738572986754872,87,0.4827586206896552
P7,regime_aware,eth,3stage_full_regime,mlp,defensive,-0.4704231646474186,-0.7588203363865137,-0.8554828329990966,123,0.4715447154471545
P7,regime_aware,eth,3stage_full_regime,mlp,prob_weighted,-0.5596805933974309,-0.7310929962465091,-0.8237899906793089,104,0.5384615384615384
P8,p8_raw,btc,3stage_full,xgboost,stateful,0.770239568725192,6.8026953053950985,-0.3959927118163372,185,0.5837837837837838
P8,p8_raw,btc,3stage_full,xgboost,defensive,0.8060487869884021,6.424117676927642,-0.2843169544834844,265,0.5811320754716981
P8,p8_raw,btc,3stage_full,xgboost,prob_weighted,0.6060252573478092,1.288381743568237,-0.2542340716937844,264,0.5833333333333334
P8,p8_cal,btc,3stage_full,xgboost,stateful,0.7912961961869472,8.21601109368421,-0.5306185040984172,124,0.6290322580645161
P8,p8_cal,btc,3stage_full,xgboost,defensive,0.7669494380285354,7.403739443958141,-0.5306185040984168,132,0.6060606060606061
P8,p8_cal,btc,3stage_full,xgboost,prob_weighted,0.6402261028670546,1.19163519947438,-0.2581415584762536,124,0.6774193548387096
P8,p8_raw,btc,3stage_full,lightgbm,stateful,0.837065824703115,8.940083462433458,-0.5570230167210428,199,0.6030150753768844
P8,p8_raw,btc,3stage_full,lightgbm,defensive,0.6950516828930121,4.473616921465067,-0.6383650381777454,270,0.5814814814814815
P8,p8_raw,btc,3stage_full,lightgbm,prob_weighted,0.689173802509379,2.3733729182360315,-0.4320770077738463,242,0.6115702479338843
P8,p8_cal,btc,3stage_full,lightgbm,stateful,0.6007823436649957,3.474226830555118,-0.5306185040984168,141,0.524822695035461
P8,p8_cal,btc,3stage_full,lightgbm,defensive,0.6256896008947722,3.892289031779364,-0.5306185040984174,148,0.527027027027027
P8,p8_cal,btc,3stage_full,lightgbm,prob_weighted,0.4760932876968808,0.7542706554447474,-0.3213954972779785,141,0.5390070921985816
P8,p8_raw,btc,3stage_full,random_forest,stateful,0.8449110493601643,9.470272191549734,-0.4879201565591241,184,0.5434782608695652
P8,p8_raw,btc,3stage_full,random_forest,defensive,0.8340109389879607,7.66394262094577,-0.3845496908888566,241,0.5518672199170125
P8,p8_raw,btc,3stage_full,random_forest,prob_weighted,0.6692898817900502,0.7356392680794905,-0.1187130163212526,222,0.5405405405405406
P8,p8_cal,btc,3stage_full,random_forest,stateful,0.8732656300578597,11.81254212899351,-0.5306185040984174,105,0.5333333333333333
P8,p8_cal,btc,3stage_full,random_forest,defensive,0.9614039411772336,16.205324061080905,-0.4834621944463306,122,0.5491803278688525
P8,p8_cal,btc,3stage_full,random_forest,prob_weighted,0.7554589404182599,1.469121457618178,-0.2828644601309689,108,0.5740740740740741
P8,p8_raw,btc,3stage_full,mlp,stateful,0.7949296696726827,8.375722565960873,-0.6214449436547931,177,0.5141242937853108
P8,p8_raw,btc,3stage_full,mlp,defensive,0.7445081745034123,6.48904331800216,-0.6304869681513825,213,0.5352112676056338
P8,p8_raw,btc,3stage_full,mlp,prob_weighted,0.6016974287688701,2.2220120278280153,-0.4533301727439242,193,0.5958549222797928
P8,p8_cal,btc,3stage_full,mlp,stateful,0.6433545521695719,4.696714932154325,-0.7148032280949784,116,0.5344827586206896
P8,p8_cal,btc,3stage_full,mlp,defensive,0.6911812657007225,5.860241484363058,-0.7130670752344508,128,0.5546875
P8,p8_cal,btc,3stage_full,mlp,prob_weighted,0.3332120070569003,0.5302945086560078,-0.353276453849756,120,0.55
P8,p8_raw,eth,flat,lightgbm,stateful,0.2653478039456937,0.0897977789741826,-0.6667020617156497,138,0.5217391304347826
P8,p8_raw,eth,flat,lightgbm,defensive,0.5065341899457962,0.8060110164305192,-0.5466036397489966,195,0.5230769230769231
P8,p8_raw,eth,flat,lightgbm,prob_weighted,0.5281459568879466,0.2737914760131321,-0.217150832723029,198,0.5202020202020202
P8,p8_cal,eth,flat,lightgbm,stateful,0.1791072367918639,-0.0446355365369769,-0.6636746882864606,97,0.5154639175257731
P8,p8_cal,eth,flat,lightgbm,defensive,0.0984596738188193,-0.1786751914557509,-0.6681588998459937,123,0.4959349593495935
P8,p8_cal,eth,flat,lightgbm,prob_weighted,0.444297176318454,0.240396604027119,-0.1717009780708579,101,0.5247524752475248
P8,p8_raw,eth,flat,xgboost,stateful,0.110843214758487,-0.2322326149814432,-0.6430432819719607,146,0.5
P8,p8_raw,eth,flat,xgboost,defensive,0.4228347132533784,0.5315546175106249,-0.5394600420185325,209,0.5358851674641149
P8,p8_raw,eth,flat,xgboost,prob_weighted,0.2675919649394522,0.1254675419197326,-0.2689632040825402,204,0.5490196078431373
P8,p8_cal,eth,flat,xgboost,stateful,0.0893557605772975,-0.2072477248076369,-0.6108318607615909,109,0.5321100917431193
P8,p8_cal,eth,flat,xgboost,defensive,0.0452025939676416,-0.2695641619094733,-0.6393958289832488,133,0.5263157894736842
P8,p8_cal,eth,flat,xgboost,prob_weighted,0.2315648212432681,0.090907683772599,-0.2236952626710036,111,0.5135135135135135
P8,p8_raw,eth,flat,random_forest,stateful,0.5568701977785638,1.052746957277915,-0.6933830276066534,103,0.5436893203883495
P8,p8_raw,eth,flat,random_forest,defensive,0.5401891575000813,0.936835286084251,-0.5332596144728157,143,0.5384615384615384
P8,p8_raw,eth,flat,random_forest,prob_weighted,0.2820880529894111,0.0958645470881323,-0.1926129492249852,139,0.5611510791366906
P8,p8_cal,eth,flat,random_forest,stateful,0.3773488280854937,0.4044669488614605,-0.5290699000423624,90,0.6444444444444445
P8,p8_cal,eth,flat,random_forest,defensive,0.3553857051598809,0.3471548247611955,-0.5290699000423624,100,0.62
P8,p8_cal,eth,flat,random_forest,prob_weighted,-0.1791398002080324,-0.1225427764699395,-0.2622487118902229,95,0.6526315789473685
P8,p8_raw,eth,flat,mlp,stateful,0.520419146005668,0.9116202755573132,-0.6182146016405404,72,0.4861111111111111
P8,p8_raw,eth,flat,mlp,defensive,0.5056559202360853,0.8429801881899155,-0.6262632762332385,75,0.48
P8,p8_raw,eth,flat,mlp,prob_weighted,0.4535803320498859,0.3431303324561874,-0.322617367796146,73,0.5342465753424658
P8,p8_cal,eth,flat,mlp,stateful,0.375011731248748,0.4008033193066618,-0.5105727825507693,54,0.5740740740740741
P8,p8_cal,eth,flat,mlp,defensive,0.3357303675858571,0.3084276212474237,-0.5105727825507693,62,0.5645161290322581
P8,p8_cal,eth,flat,mlp,prob_weighted,0.4326325937495583,0.2620402978398526,-0.2001143078372205,60,0.6
P9,oversampled,btc,3stage_full,mlp,stateful,0.8112998257371479,8.956185071301126,-0.5403744155958804,204,0.5
