asset,model,trial,state,value,duration_s,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_weight,param_num_leaves,param_feature_fraction,param_bagging_fraction,param_min_data_in_leaf,param_min_samples_leaf,param_max_features,param_hidden_layer_sizes_idx,param_batch_size,param_learning_rate_init,param_alpha
eth,lightgbm,14,PRUNED,0.41759558911662475,1.889704,200.0,,0.03681621941907509,,,,36.0,0.869545659576201,0.90527094910115,22.0,,,,,,
eth,lightgbm,15,PRUNED,0.41676320549559986,2.359073,600.0,,0.019398840051046303,,,,67.0,0.9493246691718298,0.7608054958890966,42.0,,,,,,
eth,lightgbm,16,PRUNED,0.439452495974235,0.641356,100.0,,0.03634960442223554,,,,51.0,0.8127697935372522,0.8714126773875632,28.0,,,,,,
eth,lightgbm,17,PRUNED,0.43323139653414877,2.007082,200.0,,0.022067342888288335,,,,33.0,0.7539796407337818,0.72403207567073,15.0,,,,,,
eth,lightgbm,18,PRUNED,0.4276118947304146,0.72385,150.0,,0.13393077567760453,,,,79.0,0.9247050214339142,0.8036068249211745,38.0,,,,,,
eth,lightgbm,19,PRUNED,0.42598322591681387,2.681955,500.0,,0.010062759956586979,,,,15.0,0.8503991699305872,0.9362148766913249,31.0,,,,,,
eth,lightgbm,20,PRUNED,0.43325736769317674,0.966472,150.0,,0.08174117326716414,,,,124.0,0.7103867935467328,0.6799979149076777,25.0,,,,,,
eth,lightgbm,21,COMPLETE,0.49985002870962025,4.579774,100.0,,0.027783768907341196,,,,51.0,0.7477453001778464,0.8302919113160987,37.0,,,,,,
eth,lightgbm,22,COMPLETE,0.49292543188945126,4.542679,100.0,,0.029902224896357257,,,,47.0,0.7813400732424116,0.8446243024003304,41.0,,,,,,
eth,lightgbm,23,PRUNED,0.42627242627242623,1.302492,250.0,,0.015181723941942142,,,,75.0,0.7093607961740002,0.7728742013323223,33.0,,,,,,
