,3stage_full_regime_xgboost_stateful,3stage_full_regime_xgboost_defensive,3stage_full_regime_xgboost_prob_weighted,3stage_full_regime_lightgbm_stateful,3stage_full_regime_lightgbm_defensive,3stage_full_regime_lightgbm_prob_weighted,3stage_full_regime_random_forest_stateful,3stage_full_regime_random_forest_defensive,3stage_full_regime_random_forest_prob_weighted,3stage_full_regime_mlp_stateful,3stage_full_regime_mlp_defensive,3stage_full_regime_mlp_prob_weighted,BUY_AND_HOLD
2024-03-19,0.7569702767588479,0.7185175980470221,0.9991933243069289,0.5950769578005519,0.6519084877844906,1.0849944286137523,0.7102488276488458,0.4843434823898309,1.0015346995164414,0.4433320743494449,0.42029507602807376,0.3762823340175203,1.1390890179437976
2024-03-20,0.842259571505149,0.7987558380413999,1.0198279718737444,0.6621254214045625,0.7247083605216378,1.1174206676616703,0.7902739270013999,0.5389153926699439,1.0306697814449852,0.49328315052852273,0.46723023429066773,0.4178400785266001,1.2674323650692139
2024-03-21,0.8373686703960976,0.7987558380413999,1.019638548159699,0.6582805378705096,0.7247083605216378,1.1171988457696527,0.7856849003440735,0.5357859751116679,1.0300147184854571,0.48992543081993306,0.46723023429066773,0.4173823980838216,1.2600725361403637
2024-03-22,0.7991791876033039,0.7979570822033585,1.0107624652336111,0.6282586440946829,0.7239836521611162,1.1094916421555554,0.7498525351708519,0.5113506337852859,1.0232463427105485,0.48992543081993306,0.46723023429066773,0.4173823980838216,1.202604995094385
2024-03-23,0.799875839302572,0.7978547115001337,1.0110517432251171,0.628806302816003,0.7246147552345494,1.1097857070934,0.7505061883827103,0.5117963827405567,1.0234848961763359,0.48992543081993306,0.46723023429066773,0.4173823980838216,1.2036533167053285
2024-03-24,0.828173956575488,0.7978547115001337,1.0229622735670547,0.6510522985377277,0.7495256607860559,1.1217400975441276,0.7770576993664912,0.5299027854433492,1.0333163246827741,0.48992543081993306,0.46723023429066773,0.4173823980838216,1.2462363290160394
2024-03-25,0.8608362868417103,0.7978547115001337,1.026484938561282,0.6767291325248204,0.7495256607860559,1.1260533173838674,0.8077040569476545,0.5502717042759029,1.0388582230710433,0.48992543081993306,0.46723023429066773,0.4173823980838216,1.2953866098778068
2024-03-26,0.8600262675593554,0.7978547115001337,1.026484938561282,0.6760923521582682,0.7495256607860559,1.1260210940381115,0.8069440333861893,0.5502717042759029,1.0388537221165122,0.48992543081993306,0.46723023429066773,0.4173522937369356,1.2941676927060468
2024-03-27,0.839076500067999,0.7978547115001337,1.0264335269285836,0.6596231138167516,0.7495256607860559,1.1259165667274897,0.7872873199628272,0.5502717042759029,1.0388017757048105,0.48992543081993306,0.46723023429066773,0.41652990800636097,1.2626424785588573
2024-03-28,0.8537427653806254,0.7978547115001337,1.0272806996141606,0.6711527033032803,0.7495256607860559,1.1277053002403934,0.8010483592851126,0.5502717042759029,1.0396577607389037,0.48992543081993306,0.46723023429066773,0.4185356640723411,1.2847122774199093
2024-03-29,0.8418791433739851,0.7978547115001337,1.0270610546247785,0.661826355480965,0.7495256607860559,1.1266976034772622,0.7899169795194977,0.5502717042759029,1.0395984679887549,0.48992543081993306,0.46723023429066773,0.4178946205441635,1.2668598967443263
2024-03-30,0.8409533568849468,0.7970568567886335,1.0267335739178698,0.6610985670533551,0.7495256607860559,1.1264492792567145,0.7890483340935399,0.5502717042759029,1.03953129333155,0.48992543081993306,0.46723023429066773,0.4177756950973038,1.2654667730577007
2024-03-31,0.8744942420245382,0.828049901326171,1.0388018989021686,0.6874660592833893,0.7495256607860559,1.1356759964861556,0.8205190206979078,0.5502717042759029,1.0419737397518418,0.48992543081993306,0.46723023429066773,0.4178005255370864,1.3159391034617576
2024-04-01,0.8402547152539156,0.828049901326171,1.03126209521051,0.6605493439872039,0.7495256607860559,1.1294722871317506,0.7883928137717762,0.5502717042759029,1.0395824408320093,0.48992543081993306,0.46723023429066773,0.41776962484795005,1.2644154569970578
2024-04-02,0.7856457202104735,0.828049901326171,1.0215663380735585,0.6176195809083432,0.7487761351252699,1.1128560415615907,0.737154375619676,0.549721432571627,1.0370056679041244,0.4894355053891131,0.46676300405637705,0.41554266675593604,1.1822398307607467
2024-04-03,0.7938461704784354,0.828049901326171,1.0232452627136994,0.6240661999472676,0.7558429701491877,1.1167642384103604,0.7448486806245581,0.5549096196556685,1.0392248482317332,0.49454415858745676,0.4716350051418834,0.41799693915865166,1.1945798698999657
2024-04-04,0.798304788175675,0.8272218514248448,1.0236913557897334,0.6275712525718297,0.7550871271790385,1.1181141668138281,0.7490321051124493,0.5549096196556685,1.0399975684107199,0.4973217538188044,0.4742839316704272,0.4201805270824171,1.2012891986676437
2024-04-05,0.7956305539958078,0.8236235263780244,1.0234630104221993,0.6254689571593659,0.75255766746116,1.11720800664941,0.74652292905967,0.5549096196556685,1.039665654153754,0.49565578005520844,0.47269513210437014,0.4188543869427456,1.1972650105598364
2024-04-06,0.8040926217632008,0.8227999028516464,1.025063083901397,0.6321212415334412,0.7605616260182382,1.1202605538803547,0.7544627041021063,0.5543547100360129,1.0409747879672244,0.5009274137035931,0.4777225637698527,0.4232179312759857,1.2099987317624779
2024-04-07,0.8279002239032643,0.8471613908168272,1.037667215306611,0.6502049878616304,0.78231979930554,1.1291564821776876,0.7760463992204112,0.5702137087429846,1.045334915681715,0.5157588898839804,0.49186698995128475,0.434980504466363,1.24582441603827
2024-04-08,0.8858660582486909,0.9056286436828509,1.0390648998747896,0.6502049878616304,0.78231979930554,1.1291564821776876,0.7760463992204112,0.5702137087429846,1.045334915681715,0.5513542389634175,0.5258134280086227,0.45471698053899495,1.3330514147013361
2024-04-09,0.8402866712169333,0.9056286436828509,1.0390648998747896,0.6502049878616304,0.78231979930554,1.1291564821776876,0.7752703528211907,0.5696434950342416,1.0453109180944635,0.550802884724454,0.5252876145806141,0.45426485821616525,1.264463544336348
2024-04-10,0.8495338841196435,0.9047230150391681,1.0390070126816353,0.6502049878616304,0.78231979930554,1.1291564821776876,0.7838020721204082,0.5759123254913483,1.0455554963299927,0.5568643774470478,0.5310683160644886,0.4592323992218604,1.2783787520895067
2024-04-11,0.8394573878148724,0.893991909090015,1.0383204390406549,0.6502049878616304,0.78231979930554,1.1291564821776876,0.7745052343708726,0.5690813108277021,1.0450393878454929,0.5508161587942652,0.5253002737453719,0.4542405856720386,1.264494017265642
2024-04-12,0.8386179304270576,0.893097917180925,1.0377660813995917,0.6495547828737688,0.7815374795062344,1.1288107202184607,0.7737307291365018,0.5685122295168744,1.0447578744515889,0.509611911526002,0.4860047628495576,0.42549099909616384,1.1699025218550767
2024-04-13,0.7770386119853173,0.8275181590499097,0.9968396997395871,0.601858282037482,0.7241495516090077,1.1032826054672384,0.7169160472307698,0.5267666450865301,1.024002722109461,0.47219134961936254,0.450317662717469,0.39471910224545403,1.0839971323740503
2024-04-14,0.8163550963280478,0.8693888000216426,1.035365454952995,0.632311018049932,0.7607899631258667,1.1275582285308625,0.753190458966867,0.5534199055994178,1.0423627660903334,0.4960832174335623,0.4731027689688182,0.4144372329163945,1.138845058365345
2024-04-15,0.8020442980546693,0.8541483148526191,1.0243135988894025,0.6212265335332688,0.7474532279971496,1.1202478392219752,0.7399869440158475,0.543718391313381,1.036312495557382,0.4873868218534611,0.4648092232804981,0.4073513589646925,1.118880974147328
2024-04-16,0.7977309635171348,0.8495547687909282,1.0204903403712455,0.6178856234747833,0.7434334801710863,1.117681733173737,0.7360073493093086,0.5407943142747024,1.0341746536106007,0.48476569180249174,0.4623095138741684,0.40517017360146174,1.1128637155484133
2024-04-17,0.7718221047670363,0.8219627665850316,1.0076249840015616,0.5978178160629416,0.7192881054661554,1.1064498357441876,0.7121031619022973,0.5232302931420331,1.022993866897538,0.4690213789825033,0.4472945370942991,0.39203021424783735,1.0767199150280837
2024-04-18,0.7928455228120533,0.8435299874821769,1.0294960141317036,0.6141015863569317,0.738161278424742,1.1192629467311013,0.7314999145625094,0.5374823975046854,1.0340206528603668,0.48179690388843455,0.4594782514301618,0.40269470242081457,1.1060483480325558
2024-04-19,0.7911002896520815,0.8435299874821769,1.0287554692101988,0.612749809218429,0.738161278424742,1.1188040402098882,0.7298897170263196,0.5362992766116023,1.033451831069607,0.4807363594206351,0.45846683538805855,0.401667935481322,1.1036136842828355
2024-04-20,0.8157412087963194,0.8435299874821769,1.0288167292840218,0.6318355290722781,0.738161278424742,1.121934555923871,0.7533539600696049,0.5535400409035302,1.0390367082652507,0.4961909062022322,0.4732054691869553,0.40963281683078384,1.1390922766096463
2024-04-21,0.814925467587523,0.8426864574946947,1.0286448373571657,0.6312036935432058,0.7374231171463173,1.1218668540878332,0.7508873476016178,0.5517276541122049,1.0389571048637423,0.49456629049618733,0.4716561118170035,0.40827509783361343,1.135362689509031
2024-04-22,0.8281868558432994,0.8563996039543392,1.0314415896717406,0.6414753534452293,0.7494232995608052,1.1229685083999252,0.7631066351916521,0.5607059900749902,1.0390447884153364,0.5026144321451469,0.4793314331448934,0.4095342046818027,1.1549739570948176
